Premises,label
The private sector could suggest management techniques to help implement the national energy plan.. she suggests to go to the doctor for relaxation to feel better.,0
 structural unemployment is originated from a mismatch between demand in the labour market and the skills and locations of the workers seeking employment. Macroeconomic policy generally aims to minimize systematic unemployment,1
hospital accreditation is one example of individualistic superficial evaluation. Independent external assessment of quality is one of the most powerful ways to assess the quality and safety of health care,1
The education system needs flexibility to prepare the young generation for a successful future. Tanzania's higher education system is too rigid,1
Your vital requirement such as electricity that she wait till next week is reasonable.. Villagers were favored with vital requirements like road and electricity by organizing paramilitary voluntary militia.,0
"Fruits which aren't stored well and they must access market as soon as possible are expensive and priceable fruits.. Fresh cherries do not store well, they must reach market as soon as possible.",1
it is proven that having a healthy midset helps with improving your memory. The fact that your memory is improved by having a strong state of mind is well established.,0
Production of iPhone ruled out every other ordinary cellphones from competition.. Steve Jobs manufactured a smartphone called iPhone.,1
"if there is great demand for goods and services in a community, there should be an elevated effort from bussineses to manufacture more things.. When goods or services are highly demanded in a society, then businesses must work harder to produce more items",0
 His injured knee should be treated immedeiatelly.. A battlefield promotion is awarded to enlisted soldiers who have transfered corpses and injured soldiers to hospitals.,0
Preventing skull fracture helps creating pleasant race area..  Glad race region is developed by keeping the skull safe.,0
The struggle to gain prominence rises if one realizes they belong to a lower social class.. Finding yourself in a lower social scale increases status competition,0
Raw fish contains micro-organisms that can harm the fetus. Pregnant women should prevent eating food that can harm the fetus,1
Many of Palestinians were forced to move from their country because of occupation.. Occupation of Palestine forced many of its'residents to migrate from their homeland.,0
Applying technology in different applications like telecommunication or agriculture is related to electrical power.  . the entire vertical farming is extremely dependent on various technologies ,1
farmlands containing a high percentage of organic matter are primarily used for high value crops such as vegetables. small lakes which are drained using open ditches and trenches turn into mucklands,1
"Rise in world's population will increase the amount of CO2 by the increase in using fossil fuels.. Creating better medical treatment, would lead to overpopulation.",1
Cauliflower is a great source of molybdenum.. There's some evidence to suggest taking molybdenum supplements might cause joint pain.,1
Wholegrains – such as brown rice haves the large amount of iron.. Brown rice takes longer to cook but it doesn't clump together as easily as other wholegrains.,0
Collision of small bits of ice fills up thundercloud with electrical charges.. Electrical charges within a thundercloud form lightnings.,1
Some bat species  .In many cultures animals which feeds on blood are symbols of death and darkness.,0
Incarceration of Polish protestors opened a path for Germany to have full control on Poland.. Polish banks opened a path to have full control on cleared cheques.,0
Karma plays video games fora long time during a day. Karma plays fora for long hours.,0
A lunatic serial killer sets up dangerous riddles for his victims to turture them.. Lunatic act is setting up the hazardous riddles to take the life of others.,0
Happiness is a key factor for your skin remain fresh.. Spending time together makes you happy.,1
The Barcelona's officials had to bow to the public pressure about the closure of the universities. There are public universities with a higher education system in Barcelona.,0
Jack got a shrapanel stucked in his skull. presence of external sharp objects on the skull creates serious damage conditions,1
"Robins should be on the same group with chickens just with a more beautiful appearance.. All birds, including flying and flightless, have feathers.",1
Endless arguments at home can break up marriages.. Many marriages break up due to constant arguing in house,0
Obesity-related diseases such burden our healthcare system by billions of dollars each year.. Researchers agree that bad eating habits are the leading cause of obesity in the U.S.,1
Mineral and vegetable olvie oils can protect hair from damage and breakage and have a moisturizing effect.. For having healthy and beautiful doctors recommand that we must use a product as mask which can protect hair from damage and breakage and have a moisturizing effect.,1
"Prolong fear and anxiety can lead to toxic levels of stress.. If your feelings of anxiety and nervousness are lengthened, you may finally end up suffering from an unhealthy level of stress.",0
"Based on the study, monounsaturated oils and saturated oils can. The review did state that monounsaturated oils and saturated oils may penetrate the hair shaft more fully than polyunsaturated oils.",0
There appeared also to be many different designs and capacities on small structures.. You get into mixed rock and ice and there's often snow to clear away to get to a hard surface.,0
"Usually, reading as a hobby in the childhood  can develop your domain of vocabulary. Reading was Mike's hobby since he was a child",1
You’d do a hard thing if it matters to you.. Holding on to things can be really hard.,1
level of phosphate in the body is one of the factors of the amount of calcium in your body .. Blood cholesterol level is one of the factors which appears to be correlated with a tendency to coronary disease.,0
The radiation threatens the health of nuclear plant’s staff.. Vitals of people interacting with radioactive compounds can be protected via lead shielding.,1
"Domestic violence happens when children witness violence in a home where one of their parents is abusing the other parent.. Either children have household chores they’re responsible for every day or week or children help out when their parents ask them to, getting children involved in domestic chores is good for everyone.",0
Once that difference is grasped then we need to take into account the way the territorial church expands alongside the expansion of the empire.. creative services are expanding alongside the digital and sharing economies,0
"Living and becoming older in bad condition made many Brazilian youths to become football player.. Raising in poor conditions, forced many Brazilian youngsters to become footballers.",0
The government is triyng to widen the main roads in the conutry.. Homo sapiens migrated frequently to widen their settlements.,0
Fast food is also often very low in fresh fruit and vegetables.. Foods which are often very low in fresh fruit and vegetables makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,1
Having an online account is neccery for communicatin in social media applications.. It is necessary to make an effort to extract our self from the jail that we have created.,0
"Regions with a high amount of burning oil tend to have severe air pollution. . transport is a major user of energy, burning most of the world's petroleum.",1
"Apart from European conquests, the internal history of Asia in the last 2000 years is the result of the interaction of four main influences: (a) Chinese, (b) Indian, (c) Mahommedan, (d) Central Asian.. External and internal factors are the two main groups, influencing the examined setting",0
"Prevention of any danger from occurring is possible by predicting another driver’s intent. . Weather influences what consumers search for By looking at query volume, marketers are able to make predictions about consumer intent.",0
"Disruption of infrastructure can create a catastrophic collapse in the interrelated social structure. . During the war, foundations can be destroyed slowly. ",1
Cheap workforce has led china to a dramatic economical growth.. China's large population has provided the country with cheap workforce.,1
"With Covering the marketing and cost plan in your work plan will you should be able to determine how much you're going to spend on marketing. After you spend a day at college, you go to work at a job where you can sit down the rest of the evening.",0
magnesium turns the food we eat into energy.. Green leafy vegetables – such as spinach are a great source of magnesium.,1
Poor engineering design considerations may make deep excavation collapse.. Deep excavation collapse puts people's life in danger.,1
"for a person walking alone in the city at night, there is high chance for getting mugged. You may get mugged if you walk alone in the city at night.",0
Mediterranean landscapes possess abundant traces of salt and unusual gravel.. The plentiful salt and gravel in area is an evidence of desert territory.,1
"The mean budget for running a business is a total expenditure of 27 thousand with including the employee's salary.. Owing to the great railway which crosses the country from Riga to Smolensk, afterwards dividing into two branches, to Orenburg and Tsaritsyn on the lower Volga respectively, Riga is the storehouse and place of export for hemp coming by rail from west central Russia, and for corn, Riga merchants sending their buyers as far east as Tambov.",0
"There are some projections that AI, AR, VR, and blockchain will play a crucial role in shaping the creative economy. the creative economy will become the future of global economy",1
"One of the characteristics that is with us humans since birth is the propensity to blunder.. As humans, we are wired to make mistakes.",0
"Pasta can be divided in two main categories dried and fresh pasta.. I don't know why, when dried noodles are as easy to find ,store and cook fresh pasta.",0
"Foods which contain additives, such as salt and nitrites spoils less easily than other foods.. Bacon have additives, such as salt and nitrites.",1
Sitting for a long time on a flight can lead to poor circulation . Poor circulation can increase your risk of developing deep-vein thrombosis,1
"Triphala can help cure digestive issues.. Coronary heart disease (CHD) cannot be cured, treatment can help manage the symptoms and reduce the risk of further problems.",0
definiton of heresy is elaborated as religious opinion contrary to church dogma.. Cardano was suddenly arrested on the accusation of heresy.,1
"Multiple thoughts of death, is known to be a sign of depression. Extreme sadness is usually observed in homeless people",1
"People with Crohn’s are also more likely to develop intestinal infections from bacteria, viruses, parasites, and fungi.. Coved-19 is a developed virus which can infect many people",0
Releasing some material in onion can motivate nerves in the eye.. Your eyes see and your nerves must motivate you to take the necessary steps to relax.,0
"At the end of the earwigs’ abdomen, there is a large pair of pincers.. At the large hospital, the nurse tapped the patient's abdomen with a pair of gloves.",0
The detective was much smarter than the serial killer.. all smart animals are capable of mimicking human behavior.,0
The outstanding performance of East Asian societies in the Programme for International Student Assessment (PISA) is one of the most widely discussed topics in international assessments. Leonardo Dicaprio had outstanding performance in “Revenant”.,0
measuring your progress injects enormous amounts of gratitude and appreciation into your life. The amount of inulin in dairy products can be accurately measured by adding inulinase and measuring the amount of glucose and fructose that is produced.,0
"Between brand restrictions, the referral and closing fees have made it necessary to price used items very close to the prices of new items.. Hurricanes can destroy structures and items very close to the shore",0
The character in the play refuses to make eye contacts with other characters.  Many shy and socially anxious people have difficulty with maintaining good eye contact with others,1
Those who go to war   .When might become right thinking stops.,0
"Because calcium carbonate requires stomach acid for absorption, it's best to take this product with food.. For maximum absorption, it’s best to take iron on an empty stomach.",0
Spread bacteria onto hands attempts to produce some illnesses.. Washing chicken can spread bacteria onto your hands,1
Amazon was concerned about   .Prohibition of deceiving customers was possible through certain limitations on customer policies.,0
The most important sport for a nation’s culture is its national sport.. The national emblem of Canada is a special sport called hockey which is a pefect representative of its culture,0
One of the benefits of having high IQ is constant development at work.. Continuous improvement at work is one of the many benefits of having high IQ.,0
The main cuisines of Rasht have delight sour taste.. Sour foods are great sources of Potassium.,1
The person loses large amounts of body water and salt in perspiration. Perspiration is one of the body’s defenses against heat.,1
When the blood doesn't clot easily; you will lose a big amount of blood with a small wound.. Calcium is needed for making sure blood clots normally,1
Susana Fortes combines her passion for novels with her work as a secondary school teacher in her writings.. Writers combine their writing skills with other aspects of life such as their expertise  create exceptional masterpieces.,1
"Japanese Whispers is a compilation album by British group the Cure.. Most commonly patients have compilations of psychotic, affective, motor, and cognitive symptoms.",0
"Countries with advanced schooling and training have a better culture.. Obviously, those athletes who have a better training response are the ones showing a better increase in blood volume in response to the workload.",0
high rents can be controlled by providing more houses. Offering a higher number of houses can help contain excessive rental fees.,0
long-term high blood sugar levels can possibly  .injury in nerves can contribute to numbness.,0
The matchless singing capability belongs to those with genetic vocal perfection.. Mohammad Reza Shajarian has a unique voice.,1
Internet surfing is readily available on most cell phones.. easy access to the Internet helps students in gathering the information that they need for school.,1
"As stated by Abrams' law, a lower water-to-cement ratio yields a stronger, more durable concrete. achieving a lower water-to-cement proportion,is possible by limiting the level of water put into the mixture",1
Carbon dioxide controls Earth's temperature. Burning natural gas will make CO2.,1
"In economies with small populations, entrepreneurs often seek customers beyond their small internal markets.. We have a small Internal Customer Care Team that, together with my personal staff, helps the Executive Office keep track of every Employee's birthday.",0
There was public painting with good property in the street.. No permission is taken for street art when the artist paints public and private property.,0
Children who can't get proper education are more likely to commit crimes in the future. Parents who do not have enough income can not provide decent education for their children,1
Muscle wasting contributes to weight loss. One of the factors that lead to weight loss is the deterioration of muscles.,0
"people who are mobile-addicted, tend to feel uncomfortable in face-to-face communication.. In cases of excessive technology use there is a possibility of becoming addicted to the phone and social media.",1
"I was out with an old friend who had just finished her first marathon, and she was raving about how much Aaptiv had helped her.. One of my old friends who had participated in her first marathon thinks high of Aaptiv that she thinks has helped her.",0
"A ?rm contraction can lead to a deep relaxation, rather like a pendulum swinging high on both sides.. Arteries contraction can lead to a heart attack or stroke.",0
You can see the blood vessels at the brain base with the naked eye.. The blood vessels at the base of the brain are visible to the unaided eye.,0
Turning trees to charcoals could be a reason for loss of forest area.. Tree-cutting could cause the climate to be dried in that area.,1
"Special molecular structure gives the water molecule polarity, or a lopsided electrical charge.. Polarity gives water unique properties, such as a relatively high boiling point and high specific heat.",1
Soluble fiber   .Attracting water and forms a gel-like substance with food as it’s digested in turn slows down digestion and helps you feel full faster.,0
"Having larger bone loss than its healthy amount can be more commone after menopause, due to lower levels of estrogen. . Osteoporosis may be due to greater-than-normal bone loss.",1
Cosmetics are substances or products used to enhance or alter the appearance of the face or fragrance and texture of the body. make-up materials are generally mixtures of chemical compounds derived from natural sources,1
"global warming changes the nature of rainfall and snow. rain, snow and such factors affect water quality",1
"when a customer places an order online, they take their time to browse the whole of the menu. When you have an online ordering system, customers can arrange their food online",1
"There appeared also to be many different designs and capacities on small structures.. A small surface to capacity ratio to cut down on heat waste,means that sprawling multi-winged building designs are often avoided in favor of more centralized structures",0
Facial expressions mean pursing your lips when inhaling and squinting your eyes to keep out smoke.. The repetitive facial expressions you make when smoking can contribute to wrinkles.,1
"French fries are very high in calories, and it is easy to eat excessive amounts.. Fake meats are highly processed foods and are very high in sodium.",0
Much of the hope for the present and future of chronic developmental problems lies in genome discoveries.. Brain developmental issues are associated with high levels of mercury.,0
"When one knows the world, their life becomes much less cumbersome.. life gets much easier when one has knowledge about the world",0
A customer base with money to spend benefits companies significantly. Companies can have higher revenue if customers spend more money.,0
It could be hard to recover if one witnesses a life-altering incident.. Viewing a process as a life-changing event could make recovering difficult,0
Osteoporosis may also occur due to a number of diseases like kidney disease.. This first-ever Surgeon General's Report on bone health and osteoporosis illustrates the large burden that bone disease places on our Nation and its citizens.,0
"last year happened so many bad accidents such as diseases, injury, and fire and no one prevented all of these.. to prevent diseases,injury and fire  the Occupational Safety and Health Administration (OSHA) in the united states tries through the rules",0
"It's a long way to Takhte Jamshid, the high historic value of Shiraz city.. Contracted pathways resembles the high historic value of a city.",0
"The Silk Road helped to generate trade and commerce between a number of different kingdoms and empires. . Commerce between a number of different kingdoms spread ideas, culture, inventions, and unique products across the settled world.",1
"People living in poverty often don't have access to decent nutrients. You are likely to get sick more often, when you don't get enough nutrients",1
a dry mouth can lead to bad breath caused by bacteria. Drinking lemon juice prevents the building of bacteria,1
"extra lines bear more traffic resulting in bigger amount of pollution. Adding more lanes results in higher amount of traffic, which will add to the rate of pollution.",0
Giving responsibilities to children improves discipline. Discipline can be promoted by giving responsibilities to children.,0
steel tool will get rusty when it hasn't been polished for a while. my army pocket knife is not bright and shiny anymore,1
"When doctors increased their knowledge about teeth, dental treatment improved.. During the fourteenth and fifteenth centuries doctors increased their knowledge about teeth.",1
hiring difference peoples develop resources within the community..  I was hired for an international corporation.,0
 Backpacks with wide straps can balance their weight on the student's body. Adjusting the pressure of a bag can stop backpack-related injuries. ,1
The quality of the life will get better via higher-paid career.. A higher-paid job improves the quality of life.,0
"The combination of vegetables like broccoli, spinach, and zucchini with other crunchy delights like cabbage and capsicum tremendously make the food delicious.. planetesimals in the outer solar system contained large amounts of ices.",0
Oversizing the image of an organism led to the discovery of cells.. Microscope magnify the entities in a considerable rate.,1
"Sugary foods are worse at providing satiety, or a sense of fullness.. You don’t feel full easily by consuming sugary food.",0
 Talking on cell phones or other messengers is a distraction that contributes to car collisions.. Both external and internal distractions contribute to the interference of focus.,0
"Hospitalists have the greatest benefit on patients who are medically complex, and who require close clinical monitoring. . Noble prize is given to works which have conferred the greatest benefit on mankind.",0
The oxidation of methane can make water.. water production is started by chemical activities in the normally dry stratosphere.,1
He's established himself as a reliable source of information.. The almond trees were withered because the main water resource was polluted.,0
Eating up the dead organisms cleans the environment..  Scavengers feed on the dead and decaying matter.,1
Decreasing insulin resistance allows your body to transport glucose from your bloodstream to your cells more efficiently. Intermittent fasting reduces insulin resistance,1
we need to learn the normal elements of the periodic table like Calcium.. Calcium is needed for making sure blood clots normally,0
Teamwork maximizes the chances of learning from each others experiences. Having enough experience is very vital in complex jobs,1
Going to northern road is commonly preferred through Chalus road.. Most of the residents of Tehran travel to northern part of the country.,1
A point explosion in a cold exponential atmosphere is si cool..  explosion and flow of volcanoes send tons of ash into the atmosphere. ,0
"In a study, significant prevention of the neuronal tissue damage was found in all areas of the brain of the animals.. Oxidative damage can impair blood flow in all areas of the body, including erectile tissue.",0
The constitutional revolution led to the establishment of a parliament in Iran.. Sheikh Fazlollah contributed to the uprising which led to the issuance of the Constitutional Revolution of Iran.,1
The presence of jungles results in temperate weather.. Mazandaran is covered in vastly-expanded forests.,1
Serotonin is decreased by hormone changes.. Hormone changes cause low levels of serotonin .,0
"In 1896, a tsunami on the Sanriku coast left 230000 dead..  Almost 230000 lives were taken by gigantic tsunami in Indonesia.",0
This blowing snow can penetrate tiny cracks in walls and around windows and doors.. tiny plastics can penetrate cells,0
"Being extrovert or introvert comes with choosing how to react to learning, socializing and etc.. Each person’s personality relies on being extrovert or introvert.",1
"The picturesque old town, built on the cliffs above its harbour, consists of one street stretching for about a mile through a network of lanes.. His results suggest that it may be necessary to consider a cycle of much stretching and straining of eddy motions to understand the full dynamics",0
Harry S. Truman authorized the atomic attack on Hiroshima. . The atomic attack on Hiroshima killed and maimed thousands. ,1
Landmarks are referred to as prominent distinctive monuments and buildings. Paris has many monuments and prominent buildings,1
Loyal users are the lifeblood of your app. The company has a loyal and devoted user base,1
Sara is going to receive money from her father today. Sara buys groceries whenever she receives money from her father,1
North Korean citizens live under heavy isolation as no foreign passenger can't travel there with a non govermentally supervised flight.. Medical isolation for other flight passengers should be observed if a person in the flight is suspected of having the flu.,0
The Manchester University is hiring bilingual teachers with advanced readind writing skills.. bilingual reading could improve your writing vocabulary,0
"liquid substances are easily poured and molded into shape. the mixture of aggregate with dry Portland cement and water, forms a fluid slurry",1
"In airplane, The air pressure in a plane during flight is lower than at sea level.. The air pressure in a plane during flight is lower than at sea level makes it more difficult for the body to effectively use the same amount of oxygen as it would on the ground.",1
He has to provide a thesis to receive his degree.. all IBM employees should have an engineer degree.,0
The research is divided into two parts: the digestive body system and the water circulation system.. Filtered digestive body system helps creatures to survive in seawater.,0
Imagining and exploring different sides of an argument   .Having more sophisticated insight leads to a better understanding of something.,0
Another way to better the income is through better crop yield in farming.. His remarkable presentation moved everyone.,0
The hubble telescope has helped scientists understand how planets and galaxies form.. NASA built the hubble telescope.,1
acid rain is extremely dangerous for our forests. Our forests are enormously endangered by the occurence of precipitation containing acid.,0
Customers will usually return to successful restaurants. The chairman of the bank believes in the personal touch and usually returns a signed letter to each customer.,0
homework teaches children the discipline needed to complete work to a deadline.. finishing the projects on time helps workers to become seccessful.,1
ships must anchor off while their cargo and passengers are taken ashore by barge or launch in areas with restricted seaport infrastructure. Some third world countries and small islands have limited port facilities,1
Mentoring reduces the distance. a good mentor can train you in such a way that you become exceptionally valuable,1
"You may be undernourished if you eat too many sugary foods.. eating sugary foods fills us up, but may cause insufficiency of nourishment",0
Other sources that are less rich in vitamin K include meats and fish.. peas are great sources of vitamin B1,0
Exercise increases the flow of blood to the heart and blood vessels.. Increasing the flow of blood to the heart and blood vessels causes improving your energy levels.,1
"When an employee is not  egger to her/his career, it can hinder productivity. . in male-dominated industries, women may feel less motivated to do their job.",1
Elastin and collagen are the two components of skin. Cigarette smoke damages collagen and elastin,1
"people who have problems with prefrontal cortex, have abnormal processing of emotions.. Sleep deprivation weakens the ability of a part of the brain known as the prefrontal cortex.",1
Happy people tend to have good relationships.. students who tend to get good marks tend to have a tutor.,0
sustainable development couldbecome an important source of competitive advantage. Tourism has become a pillar of socio-economic progress and a driver of sustainable development.,1
Living in an apartment is cheaper. The tenant is living for cheap to free in your property. ,0
Human activities since the beginning of the Industrial Revolution have produced an increase in the atmospheric concentration of carbon dioxide.. the rise  of carbon dioxide percentage in environment intenses global warming.,1
It is difficult for small businesses to promote new items. It is difficult for small dogs to survive on the streets.,0
Not all orchids grow from the ground some are air plants orchids.. Air plants orchids grow on trees and they do not rob the trees of nutrition.,1
Learning a new language assists to get a higher-paid job.. A higher-paid job improves the quality of life.,1
"Pneumonia is an infection that inflames the air sacs in one or both lungs.. Inflammation of lungs develops cough with phlegm or pus, fever, chills, and difficulty breathing",1
Sometimes there are solopreneurs that build everything they need using freelancers. Berry sometimes build wooden dolls using only basic tools in his free time.,0
Getting furious turns Bruce Banner into the creature called “the Hulk”.. Too much action and loud voice initiates anger in human’s brain.,1
The secret to building a victorious unit is to hire qualified people. It's essential to create a successful team to execute top organizational goals,1
"During echolocation, a whale (or dolphin) emits high-pitched sounds that   .After bouncing off objects and reflecting back to the whale, the reflected sound gives the whale an impressive amount of information about an object, including size, shape, density, position, distance, and speed of movement.",0
"when male staff employees view women as less capable or less able to perform work tasks, gender inequality happens. Gender organization of schooling and television viewing among early adolescents: a test of two alternative hypotheses.",0
Caterpillars have the organ that its name is monarch.. The organ that its name is monarch protectes the bitter sap of the milkweed plant that Caterpillar eats.,1
Experiences of inferiority may make someone less inclined to behave in a socially desirable way. demonstrating socially unacceptable behaviours often materialise as high crime rates,1
Eating too much salt may damage the arteries leading to the brain. Damaging the arteries leading to the brain may cause a slight reduction in the amount of blood reaching the brain.,1
Problems in regulating emotions can lead to loss of friends. . Missing friends makes people sad.,1
Programs written in a high-level language are generally easier to debug than programs written in a low-level language.. Warm liquids and foods are generally easier to digest.,0
"your brain sends you messages to eat more , when you don't get enough nutrients. junk food contains very little nutrients",1
"Reading stories to children opens them up to a variety of ideas.. The competition is open to a variety of ideas, not just business start-ups.",0
Pain in the stomach can contribute to nausea..  Side effects of eating too much onion might include stomach distress,1
"Depending on function, robots can come in all shapes and sizes, and I see no compelling reason to make them like humans.. regulating brain function activity can make people smarter.",0
turning in the physical environment of organisms can contribute to some animals extinction.. This contribution to species numbers occurs as a background rate that is also influenced by conditions in the physical environment.,0
Amyloid is the protein clumps associated with an increased risk of Alzheimer’s disease.. Juli Engel was delighted when a neurologist recommended a PET scan to determine whether amyloid was accumulating in her mother’s brain.,1
Treaty of Torkamanchai stripped territories off from Iran.. Fath Ali Shah signed the disastrous Treaty of Torkamanchai.,1
"when a business becomes qualified for international countries, can create jobs and boosts economic growth  . Exports make domestic companies more experienced in producing for foreign markets.",1
"Underground piping is corrosion-resistant but can be easily blocked by plastic bottles.. HDPE is used in the production of plastic bottles, corrosion-resistant piping, geomembranes, and plastic lumber.",0
"If the weather outside has you hot and bothered, here are fifty great activities you can do to.. Automatic Retransmission Query (ARQ) lowers data transmission rates and can further increase the network congestion which initially induced the packet loss.",0
Hacking local beacons hindered the communication between police forces.. police forces couldnt communicate with eachothers because of hacking local guide lights,0
Foods fried in oil at high temperatures release free radicals.. Foods which release free radicals can speed up the aging process,1
"Solar activity has a direct impact on Earth's cloud cover.. Being active, and engaging in an active lifestyle has a direct impact on a person’s life span",0
Clogging of water meters by invertebrate animals is another problem related to growth of invertebrates.. The problem in hormones related to growth and desire makes the patient fat.,0
Zoos keep  .In cages animals are preserved and taken care of.,0
Self-confidence allows athletes to reach that higher level. .   Pessimism can even help to boost reliance. ,1
The students could clean their mistakes by inventing plastic erasers.. Industrializing plastic eraser significantly favored students to remove their errors.,0
it’s easier to concentrate When you're  .Solving puzzles help us feel happier and less stressed out,0
the united states has one of the fastest rising populations in the world. the number of fundamentalists has enormously increased in the american population,1
"Being on time is sign of commitment.. For Tillard, being a sign of the eschatological Church is being a sign of freedom. ",0
"People who do not get enough vitamin A, may develop a condition that dries the eyes.. Eyes may become dry in people who do not receive an adequate amount of vitamin A.",0
cooking acidic foods in aluminium pans intakes aluminum into the food which we eat.. Aluminum can accumulate in the body has a link with Alzheimer’s disease ,1
Social rivalry encourages violence. Economic ineqaulity stimulates competition,1
Having proper responses helps you in your interpersonal relationships and daily life.. psychotherapy teaches you appropriate reactions.,1
Woody plants could be divided into trees and shrubs.. The wood category of plants include trees and shrubs.,0
The decline in crucial fish commodities results in a threat for large fishes. . Decades of destructive fishing has resulted in the precipitous decline of key fish stocks.,1
Tesla cars are equipped with auto-pilot technology.. remotely operating cars may instigate catastrophic car accidents.,1
People with shared interests can do much more compared to discrete individuals.. Campaigns are where people with a shared interest come together.,1
He dissected the eyes retina.. Playing too much computer games irritates the eye retina.,0
Longitudinal steel reinforcements in beam enhances the ductility.. Ductility enhancement improves the total flexibility of structures exposed to seismic loads.,1
"based on jurisdictions mandatation ,debilitate people must be able to use a station alone. Most jurisdictions mandate that people with disabilities must have unassisted use of the station",0
Changes in nitric oxide is known to be associated with lower blood pressure. Research shows that sunlight alters levels of nitric oxide in the skin and blood,1
having high concentration is very important in   .to become sucessful in business you need to have excellent negotiation skills,0
People’s lives are often threatened by driving aggressively.. Violent and hostile driving usually puts the lives of people in danger,0
Cacti are flowers with red petals and green leaves.. All plants on earth perform photosynthesis to grow.,1
Liver has great amount of vitamin D..  China has invested far greater amounts of research funding in the field of liver disease than for other diseases.,0
  Shift work favors random dining times.. unsettled eating points is associated with altered insulin sensitivity. ,1
Death of a loved one is an extremely stressful life event. A traumatic experience can greatly contribute to depression,1
"to many anarchists, the only form of democracy considered acceptable is direct democracy. Direct democracy is a political system where the citizens participate in the decision-making personally",1
Aramid fibers reinforce the outer layer of bullet-proof armor.. Reinforced armor disallows bullets from penetration.,1
"As the wind decays, wave actions and currents in the sea slows down.. when he is talking I think that the time slows down.",0
Team work makes the stream work.. Smoking makes Nicotine reaching the blood stream.,0
They did another x-ray this morning and the infection has spread to the other lung which inreases possiblity of death for this individual.. The risk of infection is increased by having close distance to individuals with lung-disease.,0
Controlling stress automatically can contribute to better health.  . Deep sleep seems to be a natural anxiety inhibitor.,1
"A Mediterranean diet is made up of fruits, vegetables, lean proteins, olive oil and nuts.. The researchers studied more than three hundred obese patients who followed a Mediterranean diet.",1
It is possible to keep your customers satisfied by showing them that your business is trustworthy. Following through with promises will demonstrate the reliability of your business,1
"Organic foods, which no pesticides is used to create them, can be harmless. . Crops that are produced in a well-controlled indoor environment don't need pesticides.",1
"When the fight or flight response is triggered, we   .Illogical thinking can leave us feeling less capable of coping",0
Group work also can have a very positive impact on students learning outcomes.. Researches show that group work creates more opportunities for critical thinking.,1
The stress of social situations decreases if you make connections with people surrounding you.. Creating bonds with people around you alleviates social stress,0
"you will not repeat your mistakes, when you find out about them. If you realize your mistakes, you won’t make them again.",0
People who try to decrease stress may feel that it helps provide emotional balance. . Some doctors may recommend diaphragmatic breathing to help people reduce anxiety. ,1
Increased production of cortisol increases fat storage . Weight gain fastens when fat storage is increased ,1
 'Urgency' is a measure how quickly a resolution of the Incident is required.. Glycemic index is a measure — from 0–100 — of how quickly foods increase blood sugar levels.,0
"When purchase power is high, people spend more money on goods. A customer base with money to spend benefits companies significantly",1
3D printers now are implemented to manufacture prosthetic body parts.. Using artificial body organs makes life easier for disabled individuals,1
