Premise 1,Premise 2,Syllogistic relation
Avicenna wrote famous book Al Qanun Fi Al-Tibb.,Al Qanun Fi Al-Tibb influenced modern medicine.,yes
You can lower your electricity bill by using less heat.,"Less heat, reduces your electricity bill",no
All discoveries make people's life easier.,cars were one of the most important inventions during the last decades.,yes
franchisees have the backing of an established corporation,you will experience less financial risks when you have the support of an acknowledged organization ,yes
Flooding may occur as an overflow of water from water bodies,melting the snow on mountains may result in some of that water escaping its usual boundaries.,yes
"When brain chemicals function in different ways, we behave differently",Different behaviors come from different functionality of brain chemicals.,no
"Working animals, include horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs","Working animals,have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers",yes
Facial expressions mean pursing your lips when inhaling and squinting your eyes to keep out smoke.,The repetitive facial expressions you make when smoking can contribute to wrinkles.,yes
Early Egyptians’ writing system were Hieroglyph.,Hieroglyphic scripting method is currently out-dated.,yes
A very large revenue is needed for marketing on national media.,Marketing on national media can not be done without a very large revenue,no
One of the factors that leads to the cultivation of violent conduct is consuming violent and sadistic material.,violent and abusive content can result in aggressive behaviour,no
Soldiers in the war dug the trenches all around the battlefield.,Excavating ground to a certain depth minimizes the projectile impact of enemy’s artillery.,yes
A low-calorie and high-protein diet are advised for dropping weight.,For loosing weight you should use a diet which is extremely low in calories and high in protein.,no
MC1R is the gene responsible for determining hair color.,"If the MC1R gene is active, it produces eumelanin and a person will have darker skin and hair.",yes
The first few weeks after someone contracts HIV is called the acute infection stage.,"During acute infection stage the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies.",yes
"Atherosclerosis is a disease characterized by fatty, artery-clogging deposits.",Consuming too much sugar especially from sugar-sweetened drinks has been kinked to atherosclerosis.,yes
The body ought to get burried beneath a thick layer of soil in a deep grave.,Miners ought to work in deep beneath the surface.,no
The Manchester University is hiring bilingual teachers with advanced readind writing skills.,bilingual reading could improve your writing vocabulary,no
Your speech creates your behavior., Your thoughts make up your speech.,yes
this lamp is very expensive ,I will not buy thing that are too expensive,yes
First revolution season of youngest memberships for the Iranian are currently on sale.,"Azari Jahromi is currently the youngest member of the cabinet of Iran, as well as the first Iranian minister born after the Iranian Revolution.",no
The power plant burns used vehicle tires as fuel.,Graphite is difficult to burn and is not so commonly used as fuel,no
Robins should be on the same group with chickens just with a more beautiful appearance.,"All birds, including flying and flightless, have feathers.",yes
It is possible to keep customers satisfied by following through with promises,"Even if the ALT level or the HBV DNA level shows mild elevations, it is possible to keep following up without retreatment.",no
The literacy rate has fallen due to the free writing and reading classes proveded by non- profits.,not being able to read or write defines illiteracy,no
Farmers grow a huge amount of crops in Iran each year.,Growing a wide range of crops helps the economic by making it needless of importing.,yes
if your financial accounts are held on a bank's server then all of your personal information is at risk,The issue of bail will only be of interest to you if you are held on remand awaiting your trial.,no
Good quality seed is essential for the production of a crop suitable for export.,Biotin is essential for the production of a hair protein called keratin,no
She struggled with posting pictures about her wedding.,firms and companies post pictures of their products on Instagram,no
It could be hard to recover if one witnesses a life-altering incident.,Viewing a process as a life-changing event could make recovering difficult,no
scientists found much researchs about smoking and cigarette during the time.,Scientists have found arsenic in cigarette smoke.,no
Anxiety is the most common mental illness in teenagers.,Most U.S. Teens See Anxiety and Depression as a Major Problem Among Their Peers,yes
The author who initiated the advent of this type of stories is virtually unknown ?n the world outside of Poland.,The raid on Poland initiated the Second World War.,no
J. J. Thomson was a physicist who discovered the electron.,"Our physic professor,Thomson, teach us about how electrons move.",no
Our lives are happier with what entertainment programmers do.,Entertainment programmes bring joy to our lives ,no
"Furthermore, players can choose to macro or micromanage at their heart's desire, managing all cities and units directly or choosing to allow them to act on their own",Problem solvers act very good in managing complex deals,no
Monounsaturated fats are quite resistant to high heat.,Those specific plants are quite resistant to high humidity.,no
Learning games combine education and enjoyment for kids with tests and different websites.,"Interactive multimedia for education includes a variety of technologies, including simulations, games, hypertext, cognitive tools, tests, drills, and web learning",no
Scientists are researching to measure the effects of wide limitations on the people's life.,there are strong limitations measuring the potential effects of democracy because democracy is a wide concept that involves the functioning of various institutions which are not easy to measure,no
Focusing on work is a great excuse for not taking care of yourself,taking care of oneself is closely interwoven with being concerned with the welfare of the society ,yes
Smoking narrows the tiny blood vessels in the outermost layers of skin.,"Whatever narrows the tiny blood vessels in the outermost layers of skin, It decreases blood flow and makes skin paler.",yes
Vitamin C found in lemons may help reduce skin wrinkling,"People who have less creases on their skin, look younger",yes
Buried animals in the sea floor form oil after million years.,Oil is formed from burned animals in the sea floor after millions of years.,no
massage increases blood flow in the body,increased blow flow decreases the risks of venous disorders,yes
"If you continue to eat too much salt then, over time, the arteries burst or become completely clogged.",Arteries may end up being ruptured or blocked if one eats too much salt.,no
Vinegar inhibits bacteria from growing in food,Food spoils when it's there's bacteria in it,yes
Most bats communicate and find their way by making echolocation noises.,Echolocation plays an important role in food hunting and their communication for dolphins and toothed whales and most of the bats.,no
Rose feed her dog and went to bed.,This thesis presents a search for basic matter production in association with decaying feed.,no
"the painter of ""the last judgment"" is considered by some the greatest artist of all time",The Last Judgment is a fresco by the Italian Renaissance painter Michelangelo,yes
An unprovoked attack means the person is alive when bitten.,The International Shark Attack File describes shark attacks as unprovoked.,yes
Babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them by joint attention.,The phenomena which in babies dart their eyes back and forth to the object of interest until both are engaging has been known as joint attention.,yes
The road slopes gently downwards for a mile or two and eventually gets to a wave cut notche.,Wave-cut notches happen due to the undercutting of overhanging slopes,no
One of the first steps toward utilizing emotional intelligence skills is to be aware of yourself.,Puckett said getting the policy and procedures manual approved is one of the first steps toward utilizing drones across several county departments.,no
"Oxidative stress has been linked to chronic diseases like heart disease, Alzheimer’s disease and cancer, as well as premature aging and the risk of stroke.",Optimism and teamwork has been linked to well-being in terms of higher vitality and self-esteem.,no
The improved link cost adaptively attenuates the contrasts in the background while preserving the contrasts across unknown boundaries.,Scientists think it unlikely that each species will actually become extinct as a consequence of the oil spill.,no
"Although, moderate exposure to sun can help to increase Vitamin D levels, you need to prevent prolonged exposure to UV light.","He had this habbit of drinking afternoon tea, reading books and getting drowned in between the words.",no
"An individual who is spiritually balanced, is more likely to make logical decisions",Developing a sense of trust in your child promotes emotional stability,yes
One of the benefits of having high IQ is constant development at work.,Continuous improvement at work is one of the many benefits of having high IQ.,no
Friendships contribute significantly to the development of social skills.,Sustainable buildings contribute significantly to the protection of environment,no
The self-destrudction of the infected cells prevents the disease from spreading to other parts of the body.,Committing self-destruction by teenagers spreads depression in society.,no
Small businesses do not have large budgets and financing,There is no kind of Marketing service in the world that would be suitable to small budgets,yes
"To be able to fly a long way due south, the migratory Black-headed Grosbeak should reserve enough energy.","There are lots of birds, both resident and migratory, and other wildlife that reserve food and energy for themselves.",no
Spider-Man found the object utilized for virtual realistic effects.,"The definition of virtual reality comes, naturally, from the definitions for both 'virtual' and 'reality'.",no
participating in visual lessons provides better learning of class materials.,students can use iPads to share visual lessons.,yes
tourists increasingly booked and completed electronic transactions online,Booking online is easy and quick,yes
He used to keep flowers next to his bed.,Cacti are flowers with red petals and green leaves.,no
leaving a bad impression of yourself on the interviewer makes it difficult for you to take new jobs,Getting a new job becomes harder if you the interviewer get the wrong idea of you.,no
Past memories can be affected by weakened memories.,Weakened memories might change the way you remember past memories,no
my house has thin walls,your neighbors can hear every single word you say when your house has thin walls,yes
Not all doctors truly undrestand the root causes of disruptions in the female reproductive cycle.,"Phthalates have developmental and reproductive effects on asthma, causing endocrine disruption.",no
 An improvement in the functions of the brain helps the brain to stay active. , The smart use of Smartphones increases your brain’s operations,yes
"If you’re not growing, you’re not being intelligent","If you’re not changing, you’re not growing.",yes
"The period that hair growth comes to a complete stop and the hairs begin to fall out, affects about 15% of all hairs at a time.",The period that hair growth comes to a complete stop and the hairs begin to fall out is known as telogen.,yes
Fortified infrastructure and prosperity in a country can make science and technology upsurge.,I work for a company called Orion Technology which tryies to enhance basic infrastructure and accelerate the science and prosperity in poor African co ntries,no
You can find the concept of Gravitational Intensity in this book.,Newton explained the concept of universal gravitational.,no
The interest of tourists is attracted by local dishes.,"Tourists can buy the best of gourmet cuisine here, for a cheap price.",no
The constitutional revolution led to the establishment of a parliament in Iran.,Sheikh Fazlollah contributed to the uprising which led to the issuance of the Constitutional Revolution of Iran.,yes
Circadian rhythms determines what times of day the body feels more alert as well as the times of day the body wants sleep.,It’s important to understand Circadian rhythms that go into sleep.,yes
"This limited view seems to show a freight train on the south side of the station, away from the station canopy and passenger equipment.",airplanes offer passengers a limited view while on the move,no
Fall Into Me is a web series with 8 episodes.,I literally fell in love with the Friends series the very first moment watching the first episode.,no
"Unlike houses, apartment complexes can contribute to a very convenient living arrangement", Interactions may drive complexity by expanding the number of component proteins within a complex or by increasing the complement of proteins that can contribute to a complex.,no
Seven hundred six of the adults developed dementia during the seven years of the study.,Seven hundred six of the adults and seven years old children will be sick during their study.,no
"A range of outcomes, from constant pain to total immobility, can result from the nerves being damaged.",Injured nerves could lead anywhere from persistent pain to paralysis,no
high temperatures have resulted in the early melting of snow at heights,the early melting of snow results in a greater flood risk,yes
Babysitters struggle with children during the day,People who spend most of their time with children must consider quitting smoking,yes
Low energy building designs typically have a very low surface area to volume ratio to minimize heat loss,"A small surface to capacity ratio to cut down on heat waste,means that sprawling multi-winged building designs are often avoided in favor of more centralized structures",yes
There is a lot of interest in whether spatial abilities lead to better math skills.,Communicating abilities lead to better relations with other people.,no
Floods are a source of massive destruction to villages located on the downstream.,Perforated dams prevent floods.,yes
Workers with long working hours tend to have weak psychic health., Mental wellness difficulties typically make eating disorders.,yes
There will be a decrease in the number of bookings if current visitors are annoyed,A lack of hot water inside the room is going to anger the guests very much,yes
The National Aeronautics and Space Administration is NASA.,My father built a cottage for me.,no
Flexural loads develop cracks in beam sections.,Presence of cracks decreases the beam stiffness.,yes
smoking can disturb sense of taste ,people who don't have a proper undeC51rstanding of flavoring can't enjoy the taste of foods anymore.,yes
"when plates under continents move, they can lead to an increase in pressure underneath the earth.  ",Pressure injuries can be difficult to treat and can lead to serious complications.,no
An HIV test during the window period can show negative results.,"If a person takes an HIV test during the window period, it’s likely they’ll receive a negative result.",no
my friend and I are going to see the 1998 tony award winner musical,"in 1998 , the play ""Rent"" won the tony award",yes
Your productivity skyrockets when you're feeling happier,Interacting with others boosts feelings of well-being,yes
It is clear from numerous studies that job loss has serious effects on psychosocial health.,"loss of soil fertility has serious knock-on effects for humans, such as malnutrition.",no
populist waves often rise in uncertain habitats,low security levels create an unpredictable environment,yes
"The nymphs moult four to six times before they develop their final adult form, becoming larger after each moult.",The company needs to develop a larger orientation towards marketing its products for adults.,no
"People, like those in rural South Africans, who eat more fiber than 50 grams are very unlikely to develop chronic diseases.","In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, chronic diseases are very low.",no
I think she is the only person in the world that doesn't get embarrassed for failure easily.,USA was embarrassed in the world because of the failure of operation Eagle Claw.,no
Collision of atoms breaks their structure.,the structure of atoms can be broken by hitting to eachother,no
Vegetables and fruits are the main source of fiber.,Fibers play a massive role in well-functioning of our Digesting system.,yes
infectious diseases will spread by increasing rodent population,Exceedance of rodent population rises the infectious diseases.,no
Their final project at school was not as good as the previous one.,"The project commenced on definition, meaning, English dictionary and synonym.",no
Changing the climate causes global warming that all over the world are faced to.,Fossil fuels and anthropogenic activity actually has fundamentally changed the climate.,yes
The water behind the dams power up the turbines.,Turbines on the dams generate electricity.,yes
"Deming defined abnormal variation as special causes, which he said account for approximately 6 percent of the problems from process outcomes.","We all know people who have problems with money, those who never seem to have enough or are always spending beyond their means.",no
Sharing similar characteristics amongst different creatures puts them classifies them in a same category.,Humans and chimpanzees share some remarkably similar characteristics.,yes
Woody plants could be divided into trees and shrubs.,The wood category of plants include trees and shrubs.,no
A low-altitude mountain is range as an important refugium for narrow epidemics in the South West Australian.,"The pool is large enough to swim laps, and is surrounded by the casitas.",no
Scientists at Washington University in St. Louis announced on Thursday that they’ve developed a blood test for amyloid.,"A blood test has been developed by scientists at Washington University in St. Louis, as they said on Thursday.",no
The glacial period resulted in extinction of a large number of spices .,Fibreboard is can be made of manure residue from biogas produced by mud and cow dung instead of sawdust.,no
Ginger can enhance brain function directly and ,Ginger may protect against alzheimer's disease.,yes
Mount Tomuraushi is located in Hokkaid?.,Hokkaid? is the second largest island in japan.,yes
Inflammation can be reduced by fasting.,Fasting is known to prevent high levels of inflammation,no
Online banking could enhance the task of paying bills,"Inside the leading appointment, always be prepared to talk in depth about how exactly your organization could enhance the task of the possible buyer.",no
Group work also can have a very positive impact on students learning outcomes.,Researches show that group work creates more opportunities for critical thinking.,yes
abnormal cell growth and duplication cause a group of diseases are called cancer and potentially can invade or methastase to other parts of the body,Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body,no
Climate change cause Warming Oceans.,Oceans have become warmer because of climate change.,no
He created a wonderful meal using coconut as an ingredient.,Many Iranian dishes have a dried herb as an ingredient.,no
it is proven that having a healthy midset helps with improving your memory,The fact that your memory is improved by having a strong state of mind is well established.,no
Pesticides select for pesticide resistance in the pest population,"choosing those insects that are resilient to pesticide,warrants the development of a new pesticide",yes
Having certain facilities near you can contribute to a very convenient living arrangement,"Unlike houses, apartment complexes are generally built with specific amenities",yes
I suddenly found myself dumbfounded after hearing the news.,Cardano was suddenly arrested on the accusation of heresy.,no
You can see the blood vessels at the brain base with the naked eye.,The blood vessels at the base of the brain are visible to the unaided eye.,no
Poverty encourages quarrels among family members,Many marriages break up due to constant arguing in house,yes
If you’re not changing as a person then you’re not intelligent,The rules for people from outside of Europe are not changing as a result of the Brexit negotiations.,no
Bear looks like the father of the forest.,He wanted to choose an animal which look like the father of the forest as Smokey symbol.,yes
Pneumonia is an infection that inflames the air sacs in one or both lungs.,"Inflammation of lungs develops cough with phlegm or pus, fever, chills, and difficulty breathing",yes
Unnatural cell growth is caused by the disruptive effects of cancer.,Cancer disrupts this process and leads to abnormal growth in cells.,no
Different companies use different user interfaces for their cell phones.,Many people have ample knowledge about different mobile phones and their companies.,no
"The hippocampus is the largest part of the brain that accumulates these memories, placing each one in its proper place.",The hippocampus allows you to recall everything from typing on your keyboard to your first-grade music recital.,yes
Produce chains of gold aren't easier than chains of iron and steel.,"to produce the structural steel members, melted iron ingots are used",no
sharp movement in units of water can lead to boiling. ,"When water is heated, the molecules circulate quickly.",yes
Eggs are containing large amount of vitamin A.,"The scattered sebkha deposits in the north, containing large amounts of gypsum, produce high SO4 2- waters.",no
"yellow, red and green (leafy) vegetables are having vitamin A inside them.",Overusing vitamin A can cause bad effects on your body.,yes
The use of sustainable materials is necessary for a healthy lifestyle,Choosing a floor made from conductive flooring materials is necessary for a variety of spaces.,no
structural collapse or cost increaces are some unwanted conclusions which may see in projects of varyin sizes,"projects of varying sizes may reach undesirable conclusions , such as structural collapse or cost overruns",no
A good student does not overestimate what he or she knows.,A good student is someone who does not overestimate the amount of knowledge they have.,no
Unbiased articles generate trust amongst the newspaper readers.,Newspaper writers are supposed to write stories in an unbiased fashion.,yes
Small classes alows the students improve their speaking skills more than large lecture classes.,Jhon prefer to participate a class in which improve his speaking skills.,yes
Underground piping is corrosion-resistant but can be easily blocked by plastic bottles.,"HDPE is used in the production of plastic bottles, corrosion-resistant piping, geomembranes, and plastic lumber.",no
"The pure form of metal that are incredibly soft, malleable and ductile have led to its widespread use in the making of jewellery and art.","The pure form of gold is incredibly soft, malleable and ductile",yes
Storage of important files eases the accessibility.,The simple access to important file will be available by storage them.,no
High levels of mercury are linked to brain developmental problems,Some fish are high in mercury,yes
Study of acoustic and music in the physic library was considerably advanced by his investigation.,Musical acoustics is the study of the physics of acoustic instruments,no
Everything you read fills your head with new bits of information.,you are better-equipped  to tackle any challenge you’ll ever face if you have more information in  your brain,yes
sustainable development couldbecome an important source of competitive advantage,Tourism has become a pillar of socio-economic progress and a driver of sustainable development.,yes
"for a person walking alone in the city at night, there is high chance for getting mugged",Reza is going to walk home alone tonight,yes
"Hospitalists have the greatest benefit on patients who are medically complex, and who require close clinical monitoring. ",Noble prize is given to works which have conferred the greatest benefit on mankind.,no
"in order to decrease overfilling and boost stream ,a station will be designed",The station will be designed to minimise overcrowding and improve flow,no
Hirsh needed to hold down two jobs to start a family.,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family. ,yes
decreased annual profit can pose serious dangers to the company,the implications of the proposed changes include less annual profit,yes
"By smoking the arteries to the arms and legs start to narrow, restricting blood flow.","Peripheral artery disease, which occurs when the arteries to the arms and legs start to narrow, restricting blood flow.",yes
The increase of earth angle causes the climate change.,Economic growth characterized by the rise of production output will cause the increase of energy needs.,no
chicken is a great source of Pantothenic acid.,"Pantothenic acid has several functions, such as helping to release energy from food.",yes
The education system needs flexibility to prepare the young generation for a successful future,Tanzania's higher education system is too rigid,yes
Yellow crazy ants's population releases so much formic acid into the air around their nest.,Releasing so much formic acid into the air make breating around the place is so much painful and difficult.,yes
The scandal has damaged his business's trustworthiness and exective credibility.,Tugging at her ability to reason.,no
People living in poverty often don't have access to decent nutrients,"You are likely to get sick more often, when you don't get enough nutrients",yes
Customers need someone to have an explanation and solution for their problems to choose better. ,"In a conventional retail store, clerks are generally available to answer questions.",yes
children who don't have father are obliged to work.,prevalence of AIDS throughout many developing countries has resulted an enormous number of orphans.,yes
Circulation of hot and cold air in the closed space rises the temperature.,Astronuts have to stay in the circulating spaceship's closed space for months .,no
technology has brought many great developments in education.,Countries with advanced schooling and training have a better culture.,yes
adequate mineral magnifies the bone density,the bone density is depensent on getting enough mineral,no
Soft tempered copper is extremely malleable,exceptionally ductile material offers far little resistance,yes
all IBM employees should have an engineer degree.,professional degrees such as engineering or law are completed over four years.,yes
Physiological disasters can be produced by witnessing the slaughter of the near relatives.,witnessing the slaughter of close relatives creates physcological disorders.,no
Dark chocolate has significant antioxidant content.,Antioxidants are substances that may protect your cells against free radicals.,yes
The best managers have an extraordinary bright mind to discern their own and others' thoughts quickly. ,"He quickly enlisted the services of the manager at Leeds Road and the club appointed Arthur Fairclough as manager on 26 February, 1920.",no
There are strong anti-diabetic features in ginger.,Local people ascribe powerful healing properties to this stone.,no
They are supposed to write a resaerch about plants and animals native to singapore.,Limited field usage for farming is less disruptive to native plants and animals. ,no
"a boosted forbearence towards alcohol,means that an individual is able to consume more alcohol",Alcoholism is characterised by an advanced tolerance to alcohol,yes
"Social mobilisation is a process of bringing together all feasible inter-sectoral socialpartners to determine felt-need, raise demand for and sustain progress towards a particular development objective.",Overpopulation raises the need and demand for fishing.,no
placing pressure on endangered species can gradually destroy the environmental resources. ,Tourism puts enormous stress on endangered species.,yes
Professionalism will keep customers coming back to you,"If you don't give people freedom to make decisions, they will keep coming back to you to make the decisions for them.",no
The wind energy is from heat and pressure in weather patterns,The heat and pressure in weather patterns is from sun's energy which warms the surface by sunshine,yes
"If you listen really hard to what his body tells you, you can save him",Aluminum can accumulate in the body has a link with Alzheimer’s disease ,no
being invulnerable to antibiotics leads to a great number of infections – such as pneumonia. ,It may at other times lead to great difficulties in the supply of the gaseous constituents which are used in the manufacture of food.,no
county seat is a seat of local government in a region,Chicago is the county seat of Cook County,yes
"this is believed that direct democracy implemented through a system of communes by Marxists, Leninists and Trotskyists ","Is direct democracy will change the belief of people, system of education and system of communes?",no
There was an important contrast between modern and old urban settings.,Adults with mild cognitive impairment can learn and benefit from mindfulness meditation.,no
Imprisonment of someone is to separate them from the society.,The absolute last thing to do when facing disillusionment is to separate from the church.,no
"As medical professionals approximate, about half of children aged 10-18 habitually bite their nails.","According to medical estimates, about 50% children aged between 10 and 18 years have the habit of biting their nails.",no
glacier conditions are in critical situation in Antarctica.,penguin colonies lives in Antarctica are depend on sea ices.,yes
the close proximity of apartment life enhances the probability of creating a sense of community,developing Group spirit is usually associated with creating life long connections,yes
It is easier to perfect your product if you're aware of the consumer demand,Researching the market gives you further ideas about what the customer want,yes
Severe drizzles can bring about a lot of floods,Hurricanes carry a lot of rains with themselves,yes
Cod is containing large amount of Vitamin B12., Foods containing large amount of polyunsaturated fatty acids will generally contain large amounts of vitamin E.,no
Most women suffer from feelings of guilt and shame after an abortion,Enormous grief and gulit could contribute to long-term depression,yes
Being frightened of loneliness contributes to intense paranoia. ,Individuals with Borderline Personality Disorder often are afraid of being alone.,yes
low income problems increase the risk of mental issues.,The annual cost of income support to individuals with mental problem has increased to 10 thousand dollars a year.,no
fortified foods – such as most fat spreads and some breakfast cereals are containing a lot of vitamin D,"Popular American breakfast foods, such as donuts, pastries, and pancakes, are laden with saturated fat and sugar and contain little protein or fiber.",no
Taking onion along with diabetes medications might make your blood sugar to go too low.,"In one Egyptian study of diabetic rats, onion juice reduced blood sugar levels by an amazing 70 percent.",no
Rose-Breasted Grosbeak is such a timid species.,"If you want to attrack a timid bird to your yard, you should consider posting several feeders in order to alleviate congestion and encourage it to come in for seed.",yes
Broccoli has folic acid inside it.,"In hypochlorhydria and achlorhydria, there is low or no gastric acid in the stomach.",no
Healthy people tend to live longer,Longevity comes with healthy bodies.,no
Happiness in children’s life intensifies their performance through the chores.,to boost children's act in their chores we can bring happiness to their life.,no
The 57-year-old had suffered a fractured skull and died due to the inreversable and serious damage to his brain.,The serious injury conditions can be created by the existence of external sharp objects on the skull.,no
Exercise increases the flexibility of the walls of blood vessels.,Unsteadiness in the labor market also increases the flexibility in length and location of the workday. ,no
"HEPA filters are used in most large passenger planes, according to the United States Federal Aviation Administration.",The board hopes the Federal Aviation Administration will urge the airlines to adopt such measures.,no
Ottoman miniature is a kind of Islamic miniature traditions in Turkey.,"Jizyah is a kind of Islamic poll-tax which is upon persons, not upon properties and lands.",no
Whole eggs are among the most nutritious foods on the planet.,Nutrient-dense foods are rich in nutrients relative to their calorie content. ,yes
judging others based on appearance is unwise.,It is not a sensible thing to form opinion about other based on how they look.,no
"Current immunosuppressive therapies in transplantation achieve excellent results, especially in terms of relatively short-term patient.","SMEs still think of the opportunities associated with digitalisation in terms of relatively short-term, market-focused advantages",no
Indian independence movement brought an end to the British colonial rule in India.,Mahatma Gandhi was the leader of India's non-violent independence movement.,yes
Other sources that are less rich in vitamin K include meats and fish.,peas are great sources of vitamin B1,no
Changes in nitric oxide is known to be associated with lower blood pressure,Research shows that sunlight alters levels of nitric oxide in the skin and blood,yes
Exercise can help prevent excess weight gain or help maintain weight loss. ,"When you engage in physical activity, you burn calories. ",yes
the extra vulnerablity of some stones to corrosion happens by the reason of different areas of weakness in them,Sea caves are formed since certain rock beds are more susceptible to erosion than the surrounding rock beds,yes
He was studying in an advanced university in US.,that boy can analis different things with different programs such as  Microsoft Excel.,no
Each dog is different and will need different levels of physical activity per day.,"Children need different levels – such as physical, emotional and intellectual – of touching.",no
Learning a new language assists to get a higher-paid job.,A higher-paid job improves the quality of life.,yes
Times when the sun's rays are strongest are between 10 a.m. and 4 p.m.,Avoid the sun between times when the sun's rays are strongest.,yes
Workers tend to be more satisfied and creative when they share their breaks with other people on their teams.,"When workers share breaks with others on their teams, they are happier and more productive.",no
Storage of important files eases the accessibility.,Hard drives are used to store the essential files.,yes
"architecture and urbanism  showed the state itself in many ancient  civilizations, like Egypt and Mesopotamia","The great civilizations of ancient Egypt, Mesopotamia and the area we refer to as the Fertile Crescent, of which a little part here about the size of Rhode Island is Canaan.",no
Evaluation of image details provides reliable assessment in regard with locating micro cracks on materials.,"Image processing is the application of a set of techniques and algorithms to analyze, enhance, or optimize image characteristics.",yes
Adjustable working hourse give you the time you need for setting your mind free,You can liberate your mind if you have flexible working hours.,no
Preparing a gift requires time and effort.,Developing production automation software is being creative and requires a lot of teamwork.,no
"His movements were controlled, his strength restrained.",Regionally yields deteriorate further north-down by 90%,no
You tend to be most productive if you feel good,"Working in a job that fits your personality, will make you happy",yes
arranging practical assumptions eventually saves the business owner from making costly mistakes in the long run,"If business owners plan for practical assumptions, they are less likely to make costly mistakes in the long term.",no
The potential to develop products to attract more overnight tourists could be regarded as an opportunity for the future.,Rainforest Lumina attraction is a night time experience that allows people to visit the zoo after dark ,yes
"substances ascending from the margins of the central layer and in an inflexible capacity,bring about large-volume melting",mantle plumes are hypothesized to be columns of hot material rising from the core-mantle boundary in a fixed space,yes
"Art always takes me to parallel worlds, where the extraordinary or the imaginary sparks my reality.",Reading sparks the imagination.,no
melting the snow on mountains may result in some of that water escaping its usual boundaries.,Mountain snowpack that collects on mountains is vital to water,no
"Cauliflorous bears fruits on its trunk as well as its main branches, and they are attached to the tree by a short stem.",The tree trunk was hollow inside and the branches were dried.,no
Diet does not provide enough amounts of vitamin D.,"There are fortified foods like orange juice, soy milk and cereals enriched with vitamins like vitamin D.",yes
"It looked ancient, and he opened it carefully.",The ancient Egyptians built the Great Pyramid of Giza.,no
"Symptoms of type 1 diabetes are strong urination needs, excessive thirst, steady hunger, loss of bodyweight, lesser vision and physical weakness",I was extremely thirsty and experienced frequent urination,yes
War broke out between the two countries after a border dispute.,The Siege of Rennes was an episode in the War of the Breton Succession.,no
Ebooks save millions of trees from destruction.,Saving trees from destruction minimizes damage to the ecosystems.,yes
"Between brand restrictions, the referral and closing fees have made it necessary to price used items very close to the prices of new items.",Hurricanes can destroy structures and items very close to the shore,no
Information show that Germany has increased the input of money into building military machines .,For your information I have been graduated.,no
"If you want to promote your injury recovery, you’d better go swimming.",Swimming may help improve your recovery from an injury. ,no
